title,date,category,author,lab_author,journal,honor,year,link
ChartA11y: Designing Accessible Touch Experiences of Visualizations with Blind Smartphone Users,2024-10-27,,"Zhuohao Zhang, John R. Thompson, Aditi Shah, Manish Agrawal, Alper Sarikaya, Jacob O. Wobbrock, Ed Cutrell, Bongshin Lee",Bongshin Lee,Proceedings of ASSETS 2024,x,2024,
ChartA11y: Designing Accessible Touch Experiences of Visualizations with Blind Smartphone Users,2024-10-27,,"Zhuohao Zhang, John R. Thompson, Aditi Shah, Manish Agrawal, Alper Sarikaya, Jacob O. Wobbrock, Ed Cutrell, Bongshin Lee",Bongshin Lee,Proceedings of ASSETS 2024,x,2024,https://doi.org/10.1145/3663548.3675611
Data Formulator: AI-powered Concept-driven Visualization Authoring,2023-10-27,,"Chenglong Wang, John R. Thompson, Bongshin Lee",Bongshin Lee,IEEE CG&A,Best Paper Honorable Mention Award,2024,https://doi.org/10.1109/TVCG.2023.3326585
"Databiting: Lightweight, Transient, and Insight Rich Exploration of Personal Data",2024-03-25,,"Bradley Rey, Bongshin Lee, Eun Kyoung Choe, Pourang Irani",Bongshin Lee,IEEE CG&A 2024,x,2024,https://doi.org/10.1109/MCG.2024.3353888
Designing Born-Accessible Courses in Data Science and Visualization: Challenges and Opportunities of a Remote Curriculum Taught by Blind Instructors to Blind Students,2024-05-22,,"JooYoung Seo, Sile O'Modhrain, Yilin Xia, Sanchita S. Kamath, Bongshin Lee, James Coughlan",Bongshin Lee,Proceedings of EuroVis 2024,x,2024,https://doi.org/10.48550/arXiv.2403.02568
"Identify, Adapt, Persist: The Journey of Blind Individuals with Personal Health Technologies",2024-05-15,,"Jarrett G.W. Lee, Bongshin Lee, Soyoung Choi, JooYoung Seo, Eun Kyoung Choe",Bongshin Lee,PACM IMWUT (UbiComp 2024),x,2024,https://doi.org/10.1145/3659585
MAIDR: Making Statistical Visualizations Accessible with Multimodal Data Representation,2024-05-11,,"JooYoung Seo, Yilin Xia, Bongshin Lee, Sean McCurry, Yu Jun Yam",Bongshin Lee,Proceedings of CHI 2024,x,2024,https://doi.org/10.1145/3613904.3642730
Mystique: Deconstructing SVG Charts for Layout Reuse,2023-10-26,,"Chen Chen, Bongshin Lee, Yunhai Wang, Yunjeong Chang, Zhicheng Liu",Bongshin Lee,IEEE TVCG (VIS 2023),x,2024,https://doi.org/10.1109/TVCG.2023.3327354
Redefining Activity Tracking Through Older Adults' Reflections on Meaningful Activities,2024-05-11,,"Yiwen Wang, Mengying Li, Young-Ho Kim, Bongshin Lee, Margaret Danilovich, Amanda Lazar, David E. Conroy, Hernisa Kacorri, Eun Kyoung Choe",Bongshin Lee,Proceedings of CHI 2024,x,2024,https://doi.org/10.1145/3613904.3642170
Visual Cues for Data Analysis Features Amplify Challenges for Blind Spreadsheet Users,2024-05-11,,"Minoli Perera, Bongshin Lee, Eun Kyoung Choe, Kim Marriott",Bongshin Lee,Proceedings of CHI 2024,x,2024,https://doi.org/10.1145/3613904.3642753
WonderFlow: Narration-Centric Design of Animated Data Videos,2024-06-06,,"Yun Wang, Leixian Shen, Zhengxin You, Xinhuan Shu, Bongshin Lee, John Thompson, Haidong Zhang, Dongmei Zhang",Bongshin Lee,"IEEE TVCG, in press",x,2024,https://doi.org/10.48550/arXiv.2308.04040
Opportunistic Nudges for Task Migration Between Personal Devices,2024-05-02,,"Nikhita Joshi, Richard Li, Jiannan Li, Leonardo Pavanatto, Michel Pahud, Jatin Sharma, Bongshin Lee, Hugo Romat, William Buxton, Nicolai Marquardt, Ken Hinckley, Nathalie Henry Riche",Bongshin Lee,Extended Abstracts of the CHI 24,x,2024,https://doi.org/10.1145/3613905.3651037
When Refreshable Tactile Displays Meet Conversational Agents: Investigating Accessible Data Presentation and Analysis with Touch and Speech,2025-01-01,,"Samuel Reinders , Matthew Butler , Ingrid Zukerman , Bongshin Lee , Lizhen Qu , Kim Marriott",Bongshin Lee,IEEE TVCG (VIS 2024),[Best Paper Honorable Mention Award],2025,https://doi.org/10.1109/TVCG.2024.3491504
Authoring Data-Driven Chart Animations through Direct Manipulation,2025-02-01,,"Yuancheng Shen , Yue Zhao , Yunhai Wang , Tong Ge , Haoyan Shi , Bongshin Lee",Bongshin Lee,IEEE TVCG,x,2025,https://doi.org/10.1109/TVCG.2024.3456358
,,,,,,,,
,,,,,,,,
,,,,   ,,,,